"filename", "language", "Go", "HTML", "Markdown", "YAML", "Shell Script", "Go Checksum File", "JSON", "Go Module File", "TypeScript", "JSON with Comments", "JavaScript", "CSV", "XML", "vue", "SCSS", "comment", "blank", "total"
"/Users/jerichoyu/Development/Projects/go/aid297/aid/mongoClientPool/app.go", "Go", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/jerichoyu/Development/Projects/go/aid297/aid/mongoClientPool/mongo_client.go", "Go", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 54, 213
"/Users/jerichoyu/Development/Projects/go/aid297/aid/mongoClientPool/mongo_client_pool.go", "Go", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 71
"/Users/jerichoyu/Development/Projects/go/aid297/aid/mongoClientPool/mongo_test.go", "Go", 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43, 253
"/Users/jerichoyu/Development/Projects/go/aid297/aid/myError/my_error.go", "Go", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/jerichoyu/Development/Projects/go/aid297/aid/myError/my_error_test.go", "Go", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 84
"/Users/jerichoyu/Development/Projects/go/aid297/aid/operation/manifold.go", "Go", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 63
"/Users/jerichoyu/Development/Projects/go/aid297/aid/operation/math.go", "Go", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 42
"/Users/jerichoyu/Development/Projects/go/aid297/aid/operation/operationV2/ternary.go", "Go", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 87
"/Users/jerichoyu/Development/Projects/go/aid297/aid/operation/operationV2/ternary_attributer.go", "Go", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 35
"/Users/jerichoyu/Development/Projects/go/aid297/aid/operation/operationV2/ternary_test.go", "Go", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
